date,station,parameter,value,datasource,flag
1986-08-06,200,secchidepth_m,7,trophic reports (Woody),NA
1986-08-06,210,secchidepth_m,7,trophic reports (Woody),NA
1986-08-06,230,secchidepth_m,7.9,trophic reports (Woody),NA
2017-08-22,230,secchidepth_m,9.41,LMP bio,NA
2017-08-22,220,secchidepth_m,8.71,LMP bio,NA
2017-08-22,210,secchidepth_m,8.7,LMP bio,NA
2017-08-22,200,secchidepth_m,9.1,LMP bio,NA
2017-07-18,200,secchidepth_m,8.615,LMP bio,NA
2017-07-18,210,secchidepth_m,8.29,LMP bio,NA
2017-07-18,220,secchidepth_m,8.4,LMP bio,NA
2017-07-18,230,secchidepth_m,7.56,LMP bio,NA
2016-09-28,200,secchidepth_m,10.1,LMP bio,NA
2016-09-28,210,secchidepth_m,10.4,LMP bio,NA
2016-09-28,220,secchidepth_m,9.7,LMP bio,NA
2016-09-28,230,secchidepth_m,8.87,LMP bio,NA
2016-07-18,200,secchidepth_m,9.45,LMP bio,NA
2016-07-18,210,secchidepth_m,10.33,LMP bio,NA
2016-07-18,220,secchidepth_m,9.3,LMP bio,NA
2016-07-18,230,secchidepth_m,9.25,LMP bio,NA
2016-06-21,200,secchidepth_m,8.46,LMP bio,NA
2016-06-21,210,secchidepth_m,10.23,LMP bio,NA
2016-06-21,220,secchidepth_m,8.67,LMP bio,NA
2016-06-21,230,secchidepth_m,7.8,LMP bio,NA
2016-05-31,200,secchidepth_m,9.1,LMP bio,NA
2016-05-31,210,secchidepth_m,8.9,LMP bio,NA
2016-05-31,220,secchidepth_m,8.9,LMP bio,NA
2016-05-31,230,secchidepth_m,8.6,LMP bio,NA
2015-09-21,200,secchidepth_m,9.18,LMP bio,NA
2015-09-21,210,secchidepth_m,9.43,LMP bio,NA
2015-09-21,220,secchidepth_m,9.31,LMP bio,NA
2015-09-21,230,secchidepth_m,8.63,LMP bio,NA
2015-08-10,200,secchidepth_m,7.7,LMP bio,NA
2015-08-10,210,secchidepth_m,8.09,LMP bio,NA
2015-08-10,220,secchidepth_m,7.58,LMP bio,NA
2015-08-10,230,secchidepth_m,7.35,LMP bio,NA
2015-07-20,200,secchidepth_m,8.38,LMP bio,NA
2015-07-20,210,secchidepth_m,8.3,LMP bio,NA
2015-07-20,220,secchidepth_m,7.7,LMP bio,NA
2015-07-20,230,secchidepth_m,9,LMP bio,NA
2015-06-22,200,secchidepth_m,9.65,LMP bio,NA
2015-06-22,210,secchidepth_m,9.79,LMP bio,NA
2015-06-22,220,secchidepth_m,11.05,LMP bio,NA
2015-06-22,230,secchidepth_m,8.73,LMP bio,NA
2014-09-15,230,secchidepth_m,7.875,LMP bio,NA
2014-09-15,220,secchidepth_m,9.86,LMP bio,NA
2014-09-15,210,secchidepth_m,8.535,LMP bio,NA
2014-09-15,200,secchidepth_m,8.85,LMP bio,NA
2014-08-19,200,secchidepth_m,7.77,LMP bio,NA
2014-08-19,210,secchidepth_m,8.265,LMP bio,NA
2014-08-19,220,secchidepth_m,7.79,LMP bio,NA
2014-08-19,230,secchidepth_m,7.27,LMP bio,NA
2014-07-22,200,secchidepth_m,8.39,LMP bio,NA
2014-07-22,210,secchidepth_m,9.42,LMP bio,NA
2014-07-22,220,secchidepth_m,8.06,LMP bio,NA
2014-07-22,230,secchidepth_m,8.34,LMP bio,NA
2014-06-09,200,secchidepth_m,7.51,LMP bio,NA
2014-06-09,210,secchidepth_m,7.84,LMP bio,NA
2014-06-09,220,secchidepth_m,7.97,LMP bio,NA
2014-06-09,230,secchidepth_m,7.74,LMP bio,NA
2014-05-27,210,secchidepth_m,6.24,LMP bio,NA
2014-05-27,230,secchidepth_m,5.97,LMP bio,NA
2013-09-17,200,secchidepth_m,8.21,LMP bio,NA
2013-09-17,210,secchidepth_m,7.66,LMP bio,NA
2013-09-17,220,secchidepth_m,8.25,LMP bio,NA
2013-09-17,230,secchidepth_m,9.18,LMP bio,NA
2013-08-19,200,secchidepth_m,9.385,LMP bio,NA
2013-08-19,210,secchidepth_m,10.06,LMP bio,NA
2013-08-19,220,secchidepth_m,9.63,LMP bio,NA
2013-08-19,230,secchidepth_m,9.6,LMP bio,NA
2013-07-15,200,secchidepth_m,8.08,LMP bio,NA
2013-07-15,210,secchidepth_m,8.32,LMP bio,NA
2013-07-15,220,secchidepth_m,8.1,LMP bio,NA
2013-07-15,230,secchidepth_m,8.01,LMP bio,NA
2013-06-17,200,secchidepth_m,7.175,LMP bio,NA
2013-06-17,210,secchidepth_m,7.6,LMP bio,NA
2013-06-17,220,secchidepth_m,8.635,LMP bio,NA
2012-09-17,200,secchidepth_m,9.415,LMP bio,NA
2012-09-17,210,secchidepth_m,9.69,LMP bio,NA
2012-09-17,220,secchidepth_m,9.145,LMP bio,NA
2012-09-17,230,secchidepth_m,8.83,LMP bio,NA
2012-08-20,200,secchidepth_m,8.89,LMP bio,NA
2012-08-20,210,secchidepth_m,9.5,LMP bio,NA
2012-08-20,220,secchidepth_m,8.69,LMP bio,NA
2012-08-20,230,secchidepth_m,8.62,LMP bio,NA
2012-07-23,200,secchidepth_m,9.62,LMP bio,NA
2012-07-23,210,secchidepth_m,9.15,LMP bio,NA
2012-07-23,220,secchidepth_m,8.7,LMP bio,NA
2012-07-23,230,secchidepth_m,8.35,LMP bio,NA
2012-06-19,200,secchidepth_m,7.675,LMP bio,NA
2012-06-19,210,secchidepth_m,8,LMP bio,NA
2012-06-19,220,secchidepth_m,7.325,LMP bio,NA
2012-06-19,230,secchidepth_m,6.78,LMP bio,NA
2012-05-23,200,secchidepth_m,6.74,LMP bio,NA
2012-05-23,210,secchidepth_m,7.03,LMP bio,NA
2011-09-19,200,secchidepth_m,6.82,LMP bio,NA
2011-09-19,210,secchidepth_m,7.49,LMP bio,NA
2011-09-19,220,secchidepth_m,7.64,LMP bio,NA
2011-09-19,230,secchidepth_m,7.71,LMP bio,NA
2011-08-18,200,secchidepth_m,8.2,LMP bio,NA
2011-08-18,210,secchidepth_m,8.775,LMP bio,NA
2011-08-18,220,secchidepth_m,7.8,LMP bio,NA
2011-08-18,230,secchidepth_m,7.93,LMP bio,NA
2011-07-19,200,secchidepth_m,6.1,LMP bio,NA
2011-07-19,210,secchidepth_m,7.1,LMP bio,NA
2011-07-19,220,secchidepth_m,7.35,LMP bio,NA
2011-07-19,230,secchidepth_m,7.6,LMP bio,NA
2011-06-21,200,secchidepth_m,7.65,LMP bio,NA
2011-06-21,210,secchidepth_m,7.345,LMP bio,NA
2011-06-21,220,secchidepth_m,7.31,LMP bio,NA
2011-06-21,230,secchidepth_m,7.425,LMP bio,NA
2011-05-31,200,secchidepth_m,7.38,LMP bio,NA
2011-05-31,210,secchidepth_m,7.82,LMP bio,NA
2011-05-31,220,secchidepth_m,8.03,LMP bio,NA
2011-05-31,230,secchidepth_m,8.04,LMP bio,NA
2010-10-05,200,secchidepth_m,8.45,LMP bio,NA
2010-09-13,200,secchidepth_m,10.72,LMP bio,NA
2010-09-13,210,secchidepth_m,10.11,LMP bio,NA
2010-09-13,220,secchidepth_m,10.07,LMP bio,NA
2010-09-13,230,secchidepth_m,9.47,LMP bio,NA
2010-08-17,200,secchidepth_m,9.3,LMP bio,NA
2010-08-17,210,secchidepth_m,9.6,LMP bio,NA
2010-08-17,220,secchidepth_m,9.38,LMP bio,NA
2010-08-17,230,secchidepth_m,9.1,LMP bio,NA
2010-07-12,200,secchidepth_m,8.55,LMP bio,NA
2010-07-12,210,secchidepth_m,8.32,LMP bio,NA
2010-07-12,220,secchidepth_m,8.39,LMP bio,NA
2010-07-12,230,secchidepth_m,8.38,LMP bio,NA
2010-06-02,200,secchidepth_m,6.74,LMP bio,NA
2010-06-02,210,secchidepth_m,6.97,LMP bio,NA
2010-06-02,220,secchidepth_m,7.24,LMP bio,NA
2010-06-02,230,secchidepth_m,7.38,LMP bio,NA
2009-10-05,210,secchidepth_m,9.17,LMP bio,NA
2009-09-01,200,secchidepth_m,9.4,LMP bio,NA
2009-09-01,210,secchidepth_m,8,LMP bio,NA
2009-09-01,220,secchidepth_m,9.17,LMP bio,NA
2009-09-01,230,secchidepth_m,7.515,LMP bio,NA
2009-07-13,200,secchidepth_m,7.9,LMP bio,NA
2009-07-13,210,secchidepth_m,8.75,LMP bio,NA
2009-07-13,220,secchidepth_m,8.575,LMP bio,NA
2009-07-13,230,secchidepth_m,8.275,LMP bio,NA
2009-06-22,200,secchidepth_m,8.2,LMP bio,NA
2009-06-22,210,secchidepth_m,7.385,LMP bio,NA
2009-06-22,220,secchidepth_m,7.1,LMP bio,NA
2009-06-22,230,secchidepth_m,7,LMP bio,NA
2009-05-26,200,secchidepth_m,10.22,LMP bio,NA
2009-05-26,210,secchidepth_m,9.27,LMP bio,NA
2009-05-26,220,secchidepth_m,8.1,LMP bio,NA
2009-05-26,230,secchidepth_m,8.75,LMP bio,NA
2008-09-02,200,secchidepth_m,7.915,LMP bio,NA
2008-09-02,210,secchidepth_m,7.905,LMP bio,NA
2008-09-02,220,secchidepth_m,7.75,LMP bio,NA
2008-09-02,230,secchidepth_m,7.76,LMP bio,NA
2008-07-29,200,secchidepth_m,7.15,LMP bio,NA
2008-07-29,210,secchidepth_m,7.1,LMP bio,NA
2008-07-29,220,secchidepth_m,7.375,LMP bio,NA
2008-07-29,230,secchidepth_m,7.98,LMP bio,NA
2008-07-01,200,secchidepth_m,8.075,LMP bio,NA
2008-07-01,210,secchidepth_m,7.82,LMP bio,NA
2008-07-01,220,secchidepth_m,7.9,LMP bio,NA
2008-07-01,230,secchidepth_m,7.4,LMP bio,NA
2008-06-03,200,secchidepth_m,9.3,LMP bio,NA
2008-06-03,210,secchidepth_m,9.5,LMP bio,NA
2008-06-03,220,secchidepth_m,8.7,LMP bio,NA
2008-06-03,230,secchidepth_m,8.8,LMP bio,NA
2007-09-11,200,secchidepth_m,7.975,LMP bio,NA
2007-09-11,210,secchidepth_m,7.7,LMP bio,NA
2007-09-11,220,secchidepth_m,7.7,LMP bio,NA
2007-08-14,200,secchidepth_m,8.11,LMP bio,NA
2007-08-14,210,secchidepth_m,8.8,LMP bio,NA
2007-08-14,220,secchidepth_m,9.025,LMP bio,NA
2007-08-14,230,secchidepth_m,9.275,LMP bio,NA
2007-07-16,200,secchidepth_m,7.9,LMP bio,NA
2007-07-16,210,secchidepth_m,8.65,LMP bio,NA
2007-07-16,220,secchidepth_m,8.9,LMP bio,NA
2007-07-16,230,secchidepth_m,8.45,LMP bio,NA
2007-06-11,200,secchidepth_m,7.4,LMP bio,NA
2007-06-11,210,secchidepth_m,7.7,LMP bio,NA
2007-06-11,220,secchidepth_m,7.67,LMP bio,NA
2007-06-11,230,secchidepth_m,7.65,LMP bio,NA
2006-10-09,200,secchidepth_m,6.6,LMP bio,NA
2006-10-09,210,secchidepth_m,6.65,LMP bio,NA
2006-09-11,200,secchidepth_m,7.35,LMP bio,NA
2006-09-11,210,secchidepth_m,7.5,LMP bio,NA
2006-09-11,220,secchidepth_m,6.73,LMP bio,NA
2006-09-11,230,secchidepth_m,6.3,LMP bio,NA
2006-08-15,220,secchidepth_m,7.55,LMP bio,NA
2006-08-15,230,secchidepth_m,7.24,LMP bio,NA
2006-07-24,200,secchidepth_m,5.55,LMP bio,NA
2006-07-24,210,secchidepth_m,6.225,LMP bio,NA
2006-07-24,220,secchidepth_m,7.235,LMP bio,NA
2006-07-24,230,secchidepth_m,6.555,LMP bio,NA
2006-07-05,200,secchidepth_m,7.55,LMP bio,NA
2006-07-05,210,secchidepth_m,7.675,LMP bio,NA
2006-07-05,220,secchidepth_m,7.22,LMP bio,NA
2006-07-05,230,secchidepth_m,7.1,LMP bio,NA
2006-05-31,200,secchidepth_m,6.475,LMP bio,NA
2006-05-31,210,secchidepth_m,7.43,LMP bio,NA
2006-05-31,220,secchidepth_m,7.36,LMP bio,NA
2006-05-31,230,secchidepth_m,6.375,LMP bio,NA
2005-09-14,200,secchidepth_m,8.35,LMP bio,NA
2005-09-14,210,secchidepth_m,9.2,LMP bio,NA
2005-09-14,220,secchidepth_m,8.8,LMP bio,NA
2005-09-14,230,secchidepth_m,8.05,LMP bio,NA
2005-08-22,200,secchidepth_m,8.55,LMP bio,NA
2005-08-22,210,secchidepth_m,9.475,LMP bio,NA
2005-08-22,220,secchidepth_m,8.4,LMP bio,NA
2005-08-22,230,secchidepth_m,9.1,LMP bio,NA
2005-07-25,200,secchidepth_m,7.5,LMP bio,NA
2005-07-25,210,secchidepth_m,7.6,LMP bio,NA
2005-07-25,220,secchidepth_m,7.8,LMP bio,NA
2005-07-25,230,secchidepth_m,6.95,LMP bio,NA
2005-06-27,200,secchidepth_m,8.2,LMP bio,NA
2005-06-27,210,secchidepth_m,8,LMP bio,NA
2005-06-27,220,secchidepth_m,7.75,LMP bio,NA
2004-09-20,200,secchidepth_m,7.83,LMP bio,NA
2004-09-20,210,secchidepth_m,8.45,LMP bio,NA
2004-09-20,220,secchidepth_m,7.93,LMP bio,NA
2004-09-20,230,secchidepth_m,9.43,LMP bio,NA
2004-08-23,200,secchidepth_m,9.5,LMP bio,NA
2004-08-23,210,secchidepth_m,9,LMP bio,NA
2004-08-23,220,secchidepth_m,8.65,LMP bio,NA
2004-08-23,230,secchidepth_m,8.8,LMP bio,NA
2004-07-26,200,secchidepth_m,8.85,LMP bio,NA
2004-07-26,210,secchidepth_m,8.025,LMP bio,NA
2004-07-26,220,secchidepth_m,8.2,LMP bio,NA
2004-07-26,230,secchidepth_m,8.25,LMP bio,NA
2004-06-24,230,secchidepth_m,10.3,LMP bio,NA
2004-06-21,200,secchidepth_m,10.72,LMP bio,NA
2004-06-21,210,secchidepth_m,11.67,LMP bio,NA
2004-06-21,220,secchidepth_m,11,LMP bio,NA
2004-05-25,200,secchidepth_m,10,LMP bio,NA
2004-05-25,210,secchidepth_m,9.55,LMP bio,NA
2004-05-25,220,secchidepth_m,8.58,LMP bio,NA
2003-09-22,200,secchidepth_m,8.575,LMP bio,NA
2003-09-22,210,secchidepth_m,8.25,LMP bio,NA
2003-09-22,220,secchidepth_m,8.9,LMP bio,NA
2003-09-22,230,secchidepth_m,8.175,LMP bio,NA
2003-08-18,200,secchidepth_m,8.15,LMP bio,NA
2003-08-18,210,secchidepth_m,8.125,LMP bio,NA
2003-08-18,220,secchidepth_m,8.025,LMP bio,NA
2003-08-18,230,secchidepth_m,8.35,LMP bio,NA
2003-07-21,200,secchidepth_m,11,LMP bio,NA
2003-06-23,200,secchidepth_m,11.2,LMP bio,NA
2003-06-23,210,secchidepth_m,12.4,LMP bio,NA
2003-06-23,220,secchidepth_m,12,LMP bio,NA
2003-06-23,230,secchidepth_m,11.45,LMP bio,NA
2003-06-15,100,secchidepth_m,6,LMP bio,NA
2002-09-30,200,secchidepth_m,9.35,LMP bio,NA
2002-09-30,210,secchidepth_m,9.33,LMP bio,NA
2002-09-30,220,secchidepth_m,8,LMP bio,NA
2002-09-30,230,secchidepth_m,8,LMP bio,NA
2002-08-19,200,secchidepth_m,9.4,LMP bio,NA
2002-08-19,210,secchidepth_m,9.64,LMP bio,NA
2002-08-19,220,secchidepth_m,9,LMP bio,NA
2002-08-19,230,secchidepth_m,9.2,LMP bio,NA
2002-08-12,100,secchidepth_m,8.75,LMP bio,NA
2002-07-29,200,secchidepth_m,10.4,LMP bio,NA
2002-07-29,210,secchidepth_m,9.6,LMP bio,NA
2002-07-29,220,secchidepth_m,9,LMP bio,NA
2002-07-29,230,secchidepth_m,9.2,LMP bio,NA
