date,station,depth_m,parameter,value,depth.measurement,datasource,flag
1986-08-06,200,0.1,chla_ugL,2.88,assumed,trophic reports (Woody),NA
1986-08-06,210,0.1,chla_ugL,7.49,assumed,trophic reports (Woody),NA
1986-08-06,230,0.1,chla_ugL,3.56,assumed,trophic reports (Woody),NA
2017-09-18,230,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2017-09-18,220,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2017-09-18,210,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2017-09-18,200,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2017-09-18,60,0.1,chla_ugl,1,assumed,LMP bio,NA
2017-09-12,110,0.1,chla_ugl,1.06,assumed,LMP bio,NA
2017-09-12,90,0.1,chla_ugl,0.71,assumed,LMP bio,NA
2017-09-12,80,0.1,chla_ugl,0.52,assumed,LMP bio,NA
2017-09-11,30,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2017-09-11,10,0.1,chla_ugl,2.5,assumed,LMP bio,NA
2017-09-11,70,0.1,chla_ugl,0.93,assumed,LMP bio,NA
2017-09-10,20,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2017-08-22,230,0.1,chla_ugl,1.41,assumed,LMP bio,NA
2017-08-22,220,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2017-08-22,210,0.1,chla_ugl,0.33,assumed,LMP bio,NA
2017-08-22,200,0.1,chla_ugl,1.77,assumed,LMP bio,NA
2017-08-22,60,0.1,chla_ugl,0.52,assumed,LMP bio,NA
2017-08-15,30,0.1,chla_ugl,2.69,assumed,LMP bio,NA
2017-08-14,70,0.1,chla_ugl,0.49,assumed,LMP bio,NA
2017-08-14,90,0.1,chla_ugl,0.52,assumed,LMP bio,NA
2017-08-14,80,0.1,chla_ugl,1.64,assumed,LMP bio,NA
2017-08-14,110,0.1,chla_ugl,0.71,assumed,LMP bio,NA
2017-08-14,100.1,0.1,chla_ugl,0.33,assumed,LMP bio,NA
2017-08-14,10,0.1,chla_ugl,1.96,assumed,LMP bio,NA
2017-08-13,20,0.1,chla_ugl,1.25,assumed,LMP bio,NA
2017-07-18,200,0.1,chla_ugl,1.98,assumed,LMP bio,NA
2017-07-18,210,0.1,chla_ugl,1.79,assumed,LMP bio,NA
2017-07-18,220,0.1,chla_ugl,1.96,assumed,LMP bio,NA
2017-07-18,230,0.1,chla_ugl,2.56,assumed,LMP bio,NA
2017-07-18,60,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2017-07-12,20,0.1,chla_ugl,1.66,assumed,LMP bio,NA
2017-07-12,90,0.1,chla_ugl,1.66,assumed,LMP bio,NA
2017-07-12,80,0.1,chla_ugl,1.44,assumed,LMP bio,NA
2017-07-12,30,0.1,chla_ugl,1.66,assumed,LMP bio,NA
2017-07-11,110,0.1,chla_ugl,1.09,assumed,LMP bio,NA
2017-07-11,10,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2017-07-11,70,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2017-07-09,100.1,0.1,chla_ugl,1.28,assumed,LMP bio,NA
2017-06-20,230,0.1,chla_ugl,0.98,assumed,LMP bio,NA
2017-06-20,220,0.1,chla_ugl,0.98,assumed,LMP bio,NA
